            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2386056.500000000, A.D. 1820-Sep-13 00:00:00.0000,  2.678005308129120E+08, -6.857264655792373E+08, -1.977991537207173E+08,  2.40436683E+02,  8.20167129E+01,  9.33771726E+01,
2386116.500000000, A.D. 1820-Nov-12 00:00:00.0000,  3.309760371447600E+08, -6.592585657305696E+08, -1.953803776170195E+08,  2.30123278E+02,  9.70197720E+01,  9.64264260E+01,
2386176.500000000, A.D. 1821-Jan-11 00:00:00.0000,  3.914997491306025E+08, -6.275115434358213E+08, -1.913967266233063E+08,  2.18298087E+02,  1.11967602E+02,  9.93186039E+01,
2386236.500000000, A.D. 1821-Mar-12 00:00:00.0000,  4.488979949471219E+08, -5.907568794248967E+08, -1.858853943729424E+08,  2.05114134E+02,  1.26297909E+02,  1.01958446E+02,
2386296.500000000, A.D. 1821-May-11 00:00:00.0000,  5.027255958216903E+08, -5.493045329937962E+08, -1.788956320014438E+08,  1.90734951E+02,  1.39679284E+02,  1.04267156E+02,
2386356.500000000, A.D. 1821-Jul-10 00:00:00.0000,  5.525691276212922E+08, -5.034998556981488E+08, -1.704881751113016E+08,  1.75334847E+02,  1.51904404E+02,  1.06181763E+02,
2386416.500000000, A.D. 1821-Sep-08 00:00:00.0000,  5.980498188546038E+08, -4.537202783256407E+08, -1.607345853151289E+08,  1.59101385E+02,  1.62839317E+02,  1.07654244E+02,
2386476.500000000, A.D. 1821-Nov-07 00:00:00.0000,  6.388260843083956E+08, -4.003718316905162E+08, -1.497165215574823E+08,  1.42241945E+02,  1.72397570E+02,  1.08650584E+02,
2386536.500000000, A.D. 1822-Jan-06 00:00:00.0000,  6.745956722456445E+08, -3.438855311751833E+08, -1.375249498979608E+08,  1.24998106E+02,  1.80525693E+02,  1.09149867E+02,
2386596.500000000, A.D. 1822-Mar-07 00:00:00.0000,  7.050974397633618E+08, -2.847136633862834E+08, -1.242593001073921E+08,  1.07675901E+02,  1.87194155E+02,  1.09143432E+02,
2386656.500000000, A.D. 1822-May-06 00:00:00.0000,  7.301127629172518E+08, -2.233260177025723E+08, -1.100265818027063E+08,  9.07099672E+01,  1.92391069E+02,  1.08634114E+02,
2386716.500000000, A.D. 1822-Jul-05 00:00:00.0000,  7.494665883189192E+08, -1.602060992744714E+08, -9.494047091454530E+07,  7.48012024E+01,  1.96117403E+02,  1.07635569E+02,
2386776.500000000, A.D. 1822-Sep-03 00:00:00.0000,  7.630281315743712E+08, -9.584734461787307E+07, -7.912037145578298E+07,  6.11955585E+01,  1.98383079E+02,  1.06171676E+02,
